task_id,dataset,dataset_source,strategy,repo,run_mode,reportable,task_is_fixture,task_is_real_world,provider,model,provider_is_mock,pass_rate,initial_pass,final_pass,final_status,repair_rounds,repair_gain,edited_file_count,edited_files,files_inspected_count,files_inspected,files_proposed_count,proposed_files,candidate_files,localized_repair_rate,localization_precision,localization_recall,target_file_precision,target_file_recall,missing_target_files,missing_expected_files,expected_file_count,ground_truth_precision,ground_truth_recall,ground_truth_file_count,under_localized_ground_truth,under_localized_targets,candidate_overlap_rate,tokens_used,planning_time,build_failures,test_failures,timeout_rate,full_regeneration_rate,avg_subtasks_touched,multi_file_attempt_rate,avg_attempt_file_count,dominant_failing_tests,dominant_failure_modes,dominant_failure_category,failing_tests_after_run,retrieval_mode,retrieval_candidate_count,retrieval_scanned_files,retrieval_content_inspected,round_trace_path,setup_status,setup_duration,setup_plan_strategy,setup_requires_network,setup_last_log,setup_summary_path,multi_file_edit,expected_multi_file
tc_arena_component_metadata_summary,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js,1.0,modules/Problems/services/ProblemsService.js,modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.list.spec.js;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/js-beautify/CHANGELOG.md;node_modules/is-windows/README.md;node_modules/lodash/lodash.js;node_modules/on-headers/index.js,1.0,1.0,0.08333333333333333,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2514.0,0.00011999990846961736,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_component_metadata_summary.json,success,7.068397833965719,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/contract_first/logs/setup_summary.json,0.0,0.0
tc_arena_component_metadata_summary,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,failure_mode_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js,1.0,modules/Problems/services/ProblemsService.js,modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.list.spec.js;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/js-beautify/CHANGELOG.md;node_modules/is-windows/README.md;node_modules/lodash/lodash.js;node_modules/on-headers/index.js,1.0,1.0,0.08333333333333333,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2529.0,0.00010462618482857943,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/tc_arena_component_metadata_summary.json,success,3.6809726250357926,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/failure_mode_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/failure_mode_first/logs/setup_summary.json,0.0,0.0
tc_arena_component_metadata_summary,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,oracle_teacher,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,mock,mock-model,False,0.0,0.0,0.0,patch_failed,0.0,0.0,0.0,,4.0,modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;test/problems.components.meta.spec.js;data/problems.json,0.0,,modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.list.spec.js;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/js-beautify/CHANGELOG.md;node_modules/is-windows/README.md;node_modules/lodash/lodash.js;node_modules/on-headers/index.js,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"path,content",12,1500,400,,success,3.6807873329380527,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/oracle_teacher/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/oracle_teacher/logs/setup_summary.json,0.0,0.0
tc_arena_problem_detail,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.detail.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.detail.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/globals/globals.json;test/problems.components.meta.spec.js;node_modules/es5-ext/README.md;node_modules/workerpool/README.md;node_modules/chai/History.md;node_modules/chai/ReleaseNotes.md;node_modules/eslint-plugin-import/README.md;package-lock.json,1.0,1.0,0.08333333333333333,1.0,0.5,modules/Problems/controllers/ProblemsController.js,modules/Problems/controllers/ProblemsController.js,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2612.0,0.00011250005153566599,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_problem_detail.json,success,4.551933582988568,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/contract_first/logs/setup_summary.json,0.0,1.0
tc_arena_problem_detail,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,failure_mode_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.detail.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.detail.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/globals/globals.json;test/problems.components.meta.spec.js;node_modules/es5-ext/README.md;node_modules/workerpool/README.md;node_modules/chai/History.md;node_modules/chai/ReleaseNotes.md;node_modules/eslint-plugin-import/README.md;package-lock.json,1.0,1.0,0.08333333333333333,1.0,0.5,modules/Problems/controllers/ProblemsController.js,modules/Problems/controllers/ProblemsController.js,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2627.0,0.00010145913645625114,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/tc_arena_problem_detail.json,success,6.014924957999028,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/failure_mode_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/failure_mode_first/logs/setup_summary.json,0.0,1.0
tc_arena_problem_detail,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,oracle_teacher,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,mock,mock-model,False,0.0,0.0,0.0,patch_failed,0.0,0.0,0.0,,4.0,modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;test/problems.detail.spec.js;data/problems.json,0.0,,test/problems.detail.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/globals/globals.json;test/problems.components.meta.spec.js;node_modules/es5-ext/README.md;node_modules/workerpool/README.md;node_modules/chai/History.md;node_modules/chai/ReleaseNotes.md;node_modules/eslint-plugin-import/README.md;package-lock.json,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"path,content",12,1500,400,,success,7.484616708010435,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/oracle_teacher/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/oracle_teacher/logs/setup_summary.json,0.0,1.0
tc_arena_problem_listing,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.list.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.components.meta.spec.js;test/problems.tags.spec.js;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/lodash/core.js;node_modules/es5-ext/CHANGES,1.0,1.0,0.08333333333333333,1.0,0.5,modules/Problems/controllers/ProblemsController.js,modules/Problems/controllers/ProblemsController.js,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2631.0,0.00010216702757030726,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_problem_listing.json,success,5.565782416029833,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/contract_first/logs/setup_summary.json,0.0,1.0
tc_arena_problem_listing,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,failure_mode_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.list.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.components.meta.spec.js;test/problems.tags.spec.js;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/lodash/core.js;node_modules/es5-ext/CHANGES,1.0,1.0,0.08333333333333333,1.0,0.5,modules/Problems/controllers/ProblemsController.js,modules/Problems/controllers/ProblemsController.js,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2646.0,9.725003169476986e-05,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/tc_arena_problem_listing.json,success,6.282644500024617,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/failure_mode_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/failure_mode_first/logs/setup_summary.json,0.0,1.0
tc_arena_problem_listing,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,oracle_teacher,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,mock,mock-model,False,0.0,0.0,0.0,patch_failed,0.0,0.0,0.0,,4.0,modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;test/problems.list.spec.js;data/problems.json,0.0,,test/problems.list.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.components.meta.spec.js;test/problems.tags.spec.js;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/lodash/core.js;node_modules/es5-ext/CHANGES,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"path,content",12,1500,400,,success,8.88033416599501,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/oracle_teacher/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/oracle_teacher/logs/setup_summary.json,0.0,1.0
tc_arena_problem_tags_filter,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.tags.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.tags.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/lodash/core.js;node_modules/lodash/lodash.js;test/problems.list.spec.js;package-lock.json;node_modules/.package-lock.json;node_modules/globals/globals.json,1.0,1.0,0.08333333333333333,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2537.0,0.00011454187729209662,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_problem_tags_filter.json,success,13.658355999970809,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/contract_first/logs/setup_summary.json,0.0,0.0
tc_arena_problem_tags_filter,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,failure_mode_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,dev,True,False,True,mock,mock-model,True,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.tags.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.tags.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/lodash/core.js;node_modules/lodash/lodash.js;test/problems.list.spec.js;package-lock.json;node_modules/.package-lock.json;node_modules/globals/globals.json,1.0,1.0,0.08333333333333333,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2552.0,0.00010775006595999002,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/tc_arena_problem_tags_filter.json,success,7.040273000020534,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/failure_mode_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/failure_mode_first/logs/setup_summary.json,0.0,0.0
tc_arena_problem_tags_filter,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,oracle_teacher,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,mock,mock-model,False,0.0,0.0,0.0,patch_failed,0.0,0.0,0.0,,4.0,modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;test/problems.tags.spec.js;data/problems.json,0.0,,test/problems.tags.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/lodash/core.js;node_modules/lodash/lodash.js;test/problems.list.spec.js;package-lock.json;node_modules/.package-lock.json;node_modules/globals/globals.json,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"path,content",12,1500,400,,success,10.295658541028388,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/oracle_teacher/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/oracle_teacher/logs/setup_summary.json,0.0,0.0
