task_id,dataset_id,dataset_path,title,task_type,resolved_task_type,status,error_type,pass_rate,pass_at_final,attempt_count,strategy_used,fallback_path,stagnation_events,start_time,end_time,duration_seconds,tests_provided,tests_source,tests_path,router_rationale,router_heuristics,solver_used,verifier_type,verifier_score,used_synthesized_tests,artifact_path,unit_test_report_path,deliverable_path,patch_path,repo_log_path,rubric_path,failure_signature,failing_tests,last_error,llm_calls_used,timed_out,timeout_reason,unit_test_success,deliverable_success
5a953c7c-482a-4643-aad1-f7a093da7fb9,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,Topcoder O/R F2F - Submit Score TextArea in Firefox,algo_coding,algo_coding,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-24T11:51:38.539169,2026-02-24T11:52:30.129007,51.589838,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/generated_tests/5a953c7c-482a-4643-aad1-f7a093da7fb9.json,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,unit_tests,0.0,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/5a953c7c-482a-4643-aad1-f7a093da7fb9.json,,,,,c8c21d4886568b9f3478af7201e29aea01373174229e6d240a3b6b3aa4678449,check_edge_case_large_text_input,,18.0,False,,False,False
694f790b-9a05-494a-a679-212983382fba,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Message Center - QA and bug fixes,repo_patch,repo_patch,completed_patch,success,0.0,False,0.0,,,0.0,2026-02-24T11:52:30.129330,2026-02-24T11:52:45.638697,15.509367,False,,,Looks like a repository/app maintenance task,repo_keywords,repo_patch,rubric_repo_patch,85.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/deliverables/694f790b-9a05-494a-a679-212983382fba_patch.md,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/patches/694f790b-9a05-494a-a679-212983382fba.diff,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/repo_logs/694f790b-9a05-494a-a679-212983382fba.json,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/rubric/694f790b-9a05-494a-a679-212983382fba_repo_patch.json,,,,2.0,False,,False,True
97745303-0ae1-4196-87db-3a03c1909b13,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,Topcoder O/R F2F - Submissions Tab has Winners Marked in it but shouldn't,algo_coding,algo_coding,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-24T11:52:45.639424,2026-02-24T11:53:03.913366,18.273942,False,,,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,,0.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,,,,,,,,,0.0,False,,False,False
7db8d519-d5c9-48b6-8c1d-d8430f7f09ee,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,AI Aided Asset Versioning Platform Backend Challenge Part 1,algo_coding,algo_coding,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-24T11:53:03.914906,2026-02-24T11:54:24.945591,81.030685,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/generated_tests/7db8d519-d5c9-48b6-8c1d-d8430f7f09ee.json,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,unit_tests,0.0,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/7db8d519-d5c9-48b6-8c1d-d8430f7f09ee.json,,,,,743c7b88f22b5d46ba34b8d9313cb68a9d532bc0935d93111c268e7d604e2d14,"test_user_login_success,test_user_login_failure,test_asset_upload_success,test_asset_upload_invalid_file_type,test_content_moderation_nsfw_check",,18.0,False,,False,False
4fea455b-76f7-4e66-80a6-98b667d98670,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,Topcoder O/R F2F - Members cannot download submissions anymore,algo_coding,algo_coding,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-24T11:54:24.946919,2026-02-24T11:55:22.398388,57.451469,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/generated_tests/4fea455b-76f7-4e66-80a6-98b667d98670.json,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,unit_tests,0.0,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/4fea455b-76f7-4e66-80a6-98b667d98670.json,,,,,5ea3a5e70fed2244ad2e2ebadc5d1e68c4de8c8a987870293f9131a811f173b1,"valid_download_after_submission,invalid_download_without_submission,multiple_submissions,download_from_different_challenge,edge_case_no_submissions",,18.0,False,,False,False
number_primes_stress,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Prime Count (stress),algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T11:55:22.400352,2026-02-24T11:55:27.005839,4.605487,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/extracted_tests/number_primes_stress.json,Embedded tests found,metadata_tests,algo_coding,unit_tests,100.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/number_primes_stress.json,,,,,,,,2.0,False,,True,False
30377320,challenge_data_demoData.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/demoData.json,Topcoder Platform - V6 Groups API implementation,algo_coding,algo_coding,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-24T11:55:27.006111,2026-02-24T11:55:42.795260,15.789149,False,,,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,,0.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,,,,,,,,,0.0,False,,False,False
29f79b9f-32ef-43e5-8298-1028dfbf1136,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Topcoder Identity Service Tests Improvement Part 1,algo_coding,algo_coding,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-24T11:55:42.795983,2026-02-24T11:56:56.143859,73.347876,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/generated_tests/29f79b9f-32ef-43e5-8298-1028dfbf1136.json,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,unit_tests,0.0,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/29f79b9f-32ef-43e5-8298-1028dfbf1136.json,,,,,44d264f74d50afc409d124afc69dca7097ffd0f3bb1dca299e2061bd706212f9,"createRole_validInput,createRole_missingName,getUser_validUserId,getUser_invalidUserId,updateUser_validData",,18.0,False,,False,False
graph_degree_test,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Degree Map (test),algo_coding,algo_coding,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-24T11:56:56.144862,2026-02-24T11:57:31.599524,35.454662,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/extracted_tests/graph_degree_test.json,Embedded tests found,metadata_tests,algo_coding,unit_tests,0.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/graph_degree_test.json,,,,,28bb4b22b791d684c93165572bd028c9665c7812af1096de8f618191ff494d2e,"sample_0,sample_1",,18.0,False,,False,False
65b7f3c8-06a6-422b-92d9-6353fa5c3a2d,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,72 Hours!! - Topcoder Review App - API Integration for My Active Challenge Page,algo_coding,algo_coding,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-24T11:57:31.601130,2026-02-24T11:57:49.444410,17.84328,False,,,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,,0.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,,,,,,,,,0.0,False,,False,False
1ef1e3e9-30d9-4c36-b35f-ebede0ac438d,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,"[GIG] Azure Integration Tech Lead –  Melbourne, Australia",algo_coding,algo_coding,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-24T11:57:49.445800,2026-02-24T11:58:17.983244,28.537444,False,,,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,,0.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,,,,,,,,,0.0,False,,False,False
5f695f88-8075-4e83-8727-100bf12c516e,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,Topcoder Identity Service fixing login response issue and roles response issue,algo_coding,algo_coding,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-24T11:58:17.984565,2026-02-24T11:59:11.923717,53.939152,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/generated_tests/5f695f88-8075-4e83-8727-100bf12c516e.json,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,unit_tests,0.0,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/5f695f88-8075-4e83-8727-100bf12c516e.json,,,,,a72c407f11c60fcefb3bc7614abc2181f94310e1582c7fe1f74ede04b0cf5a31,"valid_login_response,invalid_login_response,role_lookup_valid_user,role_lookup_nonexistent_user,login_with_empty_credentials",,18.0,False,,False,False
ac7837cd-349d-4a6a-aa97-82f1d19ad557,data_processed_tasks.parquet,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.parquet,Topcoder Review API - Branch Merge and Code Fixes for Review API,algo_coding,algo_coding,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-24T11:59:11.924554,2026-02-24T12:00:25.707704,73.78315,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/generated_tests/ac7837cd-349d-4a6a-aa97-82f1d19ad557.json,Statement looks like algorithmic I/O spec,io_signature_markers,algo_coding,unit_tests,0.0,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/ac7837cd-349d-4a6a-aa97-82f1d19ad557.json,,,,,425aff4674ab90f98fa81b48205357fe77e05674ccd93dc3b8100d28f8af552d,"merge_branch_and_resolve_conflicts,apply_resources_api_patch,fix_dependency_warning,fix_lint_errors,maintain_kafka_consumer",,18.0,False,,False,False
b094c72f-4e9c-4582-9f00-4eec70d7c687,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,Test,insufficient_context,design_doc,completed_design_doc,success,0.0,False,0.0,,,0.0,2026-02-24T12:00:25.708436,2026-02-24T12:00:37.993347,12.284911,False,,,Insufficient details to act on,missing_statement,design_doc,rubric_design_doc,85.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/deliverables/b094c72f-4e9c-4582-9f00-4eec70d7c687.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/rubric/b094c72f-4e9c-4582-9f00-4eec70d7c687_design_doc.json,,,,2.0,False,,False,True
array_sum_hard,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Array Sum (hard),algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T12:00:37.993698,2026-02-24T12:00:43.014145,5.020447,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/extracted_tests/array_sum_hard.json,Embedded tests found,metadata_tests,algo_coding,unit_tests,100.0,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo/unit_tests/array_sum_hard.json,,,,,,,,2.0,False,,True,False
